"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,739.00,4.00,2.00,0.00,0.00,23.00,25.00,23.00,"Island Air Service","IAS","A04","AOS",0,"035",4,2002,3,9,1,"F",
0.00,1.00,1800.00,9.00,2.00,0.00,0.00,240.00,141.00,135.00,"Cape Smythe Air Service","CSY","A35","BRW",0,"035",1,2002,3,9,1,"F",
0.00,1.00,1800.00,9.00,0.00,0.00,0.00,156.00,71.00,65.00,"Cape Smythe Air Service","CSY","A35","LNI",0,"035",1,2002,3,9,1,"F",
0.00,8.00,14400.00,72.00,5.00,0.00,0.00,38.00,179.00,131.00,"Cape Smythe Air Service","CSY","A35","SCC",0,"035",1,2002,3,9,1,"F",
0.00,1.00,30540.00,120.00,89.00,185.00,834.00,664.00,122.00,108.00,"United Air Lines Inc.","UA","BIL","SEA",6,"698",1,2002,3,9,2,"F",
0.00,2.00,3200.00,16.00,9.00,0.00,0.00,119.00,94.00,82.00,"Bering Air Inc.","BER","BKC","ABL",1,"194",1,2002,3,9,1,"L",
0.00,2.00,5400.00,18.00,6.00,154.00,69.00,23.00,25.00,13.00,"Bering Air Inc.","BER","BKC","CDL",4,"416",1,2002,3,9,1,"F",
0.00,2.00,11000.00,18.00,2.00,0.00,230.00,46.00,38.00,36.00,"Hageland Aviation Service","HAG","BKC","DRG",4,"416",1,2002,3,9,1,"F",
0.00,9.00,45000.00,0.00,0.00,0.00,2033.00,46.00,249.00,213.00,"Yute Air Aka Flight Alaska","YUT","BKC","DRG",0,"035",2,2002,3,9,1,"G",
0.00,3.00,9095.00,27.00,5.00,135.00,341.00,46.00,45.00,42.00,"Hageland Aviation Service","HAG","BKC","DRG",4,"417",1,2002,3,9,1,"F",
0.00,10.00,17057.00,80.00,42.00,552.00,505.00,46.00,208.00,148.00,"Bering Air Inc.","BER","BKC","DRG",1,"194",1,2002,3,9,1,"F",
0.00,3.00,3150.00,0.00,0.00,1000.00,340.00,46.00,84.00,69.00,"Ryan Air f/k/a Arctic Transportation","RYA","BKC","DRG",0,"035",2,2002,3,9,1,"G",
0.00,1.00,1603.00,8.00,0.00,3.00,0.00,161.00,51.00,45.00,"Bering Air Inc.","BER","BKC","OME",1,"194",1,2002,3,9,1,"F",
0.00,10.00,11000.00,50.00,1.00,0.00,8.00,75.00,393.00,333.00,"Baker Aviation Inc.","BKR","BKC","OTZ",0,"035",1,2002,3,9,1,"F",
0.00,4.00,10800.00,36.00,17.00,0.00,0.00,75.00,137.00,113.00,"Bering Air Inc.","BER","BKC","OTZ",4,"416",1,2002,3,9,1,"L",
0.00,2.00,2000.00,10.00,3.00,0.00,0.00,75.00,90.00,82.00,"Bering Air Inc.","BER","BKC","OTZ",0,"035",1,2002,3,9,1,"L",
0.00,21.00,56700.00,189.00,101.00,225.00,171.00,75.00,637.00,511.00,"Bering Air Inc.","BER","BKC","OTZ",4,"416",1,2002,3,9,1,"F",
0.00,4.00,4000.00,0.00,0.00,0.00,0.00,75.00,145.00,129.00,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service","TAN","BKC","OTZ",0,"079",2,2002,3,9,1,"G",
0.00,13.00,17550.00,76.00,7.00,0.00,174.00,75.00,481.00,457.00,"Hageland Aviation Service","HAG","BKC","OTZ",0,"035",1,2002,3,9,1,"F",
